TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/03/13
TIME	14:41:12
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  415.0000
LASTX	  700.0000
NPOINTS	     571
FIRSTY	     1.42634
MAXY	   296.98859
MINY	     0.47517
XYDATA
415.0000	1.42634
415.5000	1.45209
416.0000	1.47554
416.5000	1.47675
417.0000	1.51794
417.5000	1.60151
418.0000	1.62199
418.5000	1.65161
419.0000	1.67967
419.5000	1.68708
420.0000	1.74945
420.5000	1.8725
421.0000	1.87006
421.5000	1.88309
422.0000	1.92349
422.5000	1.90854
423.0000	2.05046
423.5000	2.03516
424.0000	1.91045
424.5000	1.91526
425.0000	2.07685
425.5000	1.99388
426.0000	2.14487
426.5000	2.27233
427.0000	2.27362
427.5000	2.15415
428.0000	2.21308
428.5000	2.21268
429.0000	2.27858
429.5000	2.29829
430.0000	2.39758
430.5000	2.41128
431.0000	2.42367
431.5000	2.57964
432.0000	2.3732
432.5000	2.61424
433.0000	2.54892
433.5000	2.63285
434.0000	2.58752
434.5000	2.70632
435.0000	2.70715
435.5000	2.77792
436.0000	2.83479
436.5000	2.71886
437.0000	2.74116
437.5000	2.87936
438.0000	3.007
438.5000	3.00771
439.0000	2.91171
439.5000	2.91207
440.0000	2.89631
440.5000	2.9274
441.0000	3.0282
441.5000	3.03034
442.0000	3.08239
442.5000	3.11574
443.0000	3.15509
443.5000	3.13813
444.0000	3.254
444.5000	3.17708
445.0000	3.29198
445.5000	3.44714
446.0000	3.38511
446.5000	3.54186
447.0000	3.48615
447.5000	3.71002
448.0000	3.80737
448.5000	3.82194
449.0000	3.76903
449.5000	3.92403
450.0000	3.58445
450.5000	3.32305
451.0000	3.28772
451.5000	3.35231
452.0000	3.46942
452.5000	3.47122
453.0000	3.33072
453.5000	3.39748
454.0000	3.73013
454.5000	3.93393
455.0000	4.12326
455.5000	4.22653
456.0000	4.37697
456.5000	4.42834
457.0000	4.54339
457.5000	4.70165
458.0000	4.79066
458.5000	4.91677
459.0000	5.00404
459.5000	5.18373
460.0000	5.32104
460.5000	5.49138
461.0000	5.65942
461.5000	5.81874
462.0000	5.8736
462.5000	6.08296
463.0000	6.30639
463.5000	6.50635
464.0000	6.94059
464.5000	7.12847
465.0000	7.30162
465.5000	7.49568
466.0000	7.95322
466.5000	8.17709
467.0000	8.4028
467.5000	8.8082
468.0000	9.45638
468.5000	9.8813
469.0000	10.3028
469.5000	10.6288
470.0000	11.3451
470.5000	11.5136
471.0000	12.117
471.5000	12.6776
472.0000	13.6834
472.5000	14.0788
473.0000	14.7463
473.5000	15.5665
474.0000	16.6271
474.5000	17.4613
475.0000	18.6535
475.5000	19.7186
476.0000	21.0097
476.5000	22.4754
477.0000	23.7375
477.5000	24.7573
478.0000	26.3055
478.5000	27.9992
479.0000	29.7341
479.5000	31.373
480.0000	33.6638
480.5000	35.8762
481.0000	38.3664
481.5000	40.5964
482.0000	43.4822
482.5000	45.2952
483.0000	48.6353
483.5000	51.6694
484.0000	54.7614
484.5000	57.7796
485.0000	61.0495
485.5000	64.7511
486.0000	68.2388
486.5000	72.5088
487.0000	76.967
487.5000	81.9819
488.0000	86.9857
488.5000	90.9267
489.0000	95.541
489.5000	100.499
490.0000	106.346
490.5000	111.428
491.0000	116.542
491.5000	122.245
492.0000	128.206
492.5000	134.003
493.0000	139.85
493.5000	146.338
494.0000	153.066
494.5000	159.566
495.0000	166.048
495.5000	173.31
496.0000	179.763
496.5000	186.301
497.0000	193.293
497.5000	201.049
498.0000	207.463
498.5000	213.036
499.0000	220.427
499.5000	227.342
500.0000	233.173
500.5000	238.992
501.0000	245.324
501.5000	251.323
502.0000	257.065
502.5000	261.533
503.0000	267.12
503.5000	271.367
504.0000	275.084
504.5000	279.132
505.0000	282.556
505.5000	286.695
506.0000	289.519
506.5000	291.849
507.0000	292.938
507.5000	294.594
508.0000	296.492
508.5000	296.989
509.0000	296.725
509.5000	295.843
510.0000	295.684
510.5000	295.005
511.0000	293.489
511.5000	291.114
512.0000	289.203
512.5000	285.112
513.0000	281.162
513.5000	278.901
514.0000	275.211
514.5000	271.232
515.0000	266.914
515.5000	261.923
516.0000	256.914
516.5000	251.108
517.0000	246.181
517.5000	242.271
518.0000	237.179
518.5000	231.447
519.0000	225.683
519.5000	219.95
520.0000	214.562
520.5000	208.752
521.0000	202.9
521.5000	196.322
522.0000	190.761
522.5000	185.235
523.0000	180.305
523.5000	174.059
524.0000	168.554
524.5000	161.514
525.0000	158.001
525.5000	152.598
526.0000	146.237
526.5000	140.678
527.0000	135.911
527.5000	131.095
528.0000	125.468
528.5000	120.519
529.0000	116.217
529.5000	111.47
530.0000	106.994
530.5000	102.509
531.0000	98.4425
531.5000	94.4445
532.0000	90.471
532.5000	86.2547
533.0000	83.0465
533.5000	79.4057
534.0000	75.7748
534.5000	73.2512
535.0000	69.4943
535.5000	65.7442
536.0000	62.6711
536.5000	59.5982
537.0000	57.4057
537.5000	55.0157
538.0000	52.427
