TITLE	
DATA TYPE	FLUORESCENCE SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/03/13
TIME	15:25:58
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.5
XUNITS	NANOMETERS
YUNITS	INTENSITY
FIRSTX	  415.0000
LASTX	  700.0000
NPOINTS	     571
FIRSTY	     0.83307
MAXY	   338.48245
MINY	     0.37528
XYDATA
415.0000	0.833065
415.5000	0.839048
416.0000	0.859288
416.5000	0.825677
417.0000	0.825192
417.5000	0.931614
418.0000	0.952839
418.5000	0.949861
419.0000	0.913366
419.5000	0.846295
420.0000	0.913361
420.5000	0.936173
421.0000	0.948984
421.5000	0.995757
422.0000	1.04023
422.5000	0.975298
423.0000	0.980609
423.5000	0.959224
424.0000	0.877316
424.5000	0.851304
425.0000	0.974787
425.5000	1.00329
426.0000	1.23403
426.5000	1.16458
427.0000	1.11035
427.5000	1.24194
428.0000	1.16006
428.5000	1.1897
429.0000	1.17219
429.5000	1.26645
430.0000	1.24531
430.5000	1.28565
431.0000	1.26777
431.5000	1.33213
432.0000	1.2711
432.5000	1.37347
433.0000	1.40033
433.5000	1.28576
434.0000	1.32023
434.5000	1.34078
435.0000	1.27685
435.5000	1.28714
436.0000	1.31523
436.5000	1.30876
437.0000	1.32507
437.5000	1.36378
438.0000	1.44548
438.5000	1.39028
439.0000	1.37287
439.5000	1.41581
440.0000	1.42591
440.5000	1.46817
441.0000	1.55023
441.5000	1.5141
442.0000	1.54512
442.5000	1.52918
443.0000	1.52848
443.5000	1.59325
444.0000	1.59419
444.5000	1.57302
445.0000	1.53422
445.5000	1.46209
446.0000	1.5544
446.5000	1.6718
447.0000	1.67613
447.5000	1.75881
448.0000	1.81958
448.5000	1.78119
449.0000	1.627
449.5000	1.31576
450.0000	1.24801
450.5000	1.24276
451.0000	0.944015
451.5000	1.00016
452.0000	1.09935
452.5000	1.27027
453.0000	1.25408
453.5000	1.27378
454.0000	1.45198
454.5000	1.53741
455.0000	1.73862
455.5000	1.7001
456.0000	1.82026
456.5000	1.9371
457.0000	1.89968
457.5000	1.96023
458.0000	2.07164
458.5000	2.08563
459.0000	2.13788
459.5000	2.22266
460.0000	2.16659
460.5000	2.14921
461.0000	2.1399
461.5000	2.21243
462.0000	2.23527
462.5000	2.29015
463.0000	2.42565
463.5000	2.41203
464.0000	2.50468
464.5000	2.49056
465.0000	2.5678
465.5000	2.48825
466.0000	2.67198
466.5000	2.6189
467.0000	2.79281
467.5000	2.58944
468.0000	2.79868
468.5000	2.88227
469.0000	2.89056
469.5000	3.00105
470.0000	2.90236
470.5000	2.89711
471.0000	3.0393
471.5000	3.02526
472.0000	3.02159
472.5000	3.13699
473.0000	3.09346
473.5000	3.15286
474.0000	3.23697
474.5000	3.24745
475.0000	3.33967
475.5000	3.37488
476.0000	3.42735
476.5000	3.44204
477.0000	3.45631
477.5000	3.51626
478.0000	3.52382
478.5000	3.60668
479.0000	3.54188
479.5000	3.51425
480.0000	3.66071
480.5000	3.56145
481.0000	3.67639
481.5000	3.71937
482.0000	3.76694
482.5000	3.72666
483.0000	3.75924
483.5000	3.81204
484.0000	3.57194
484.5000	3.70554
485.0000	3.80693
485.5000	3.83709
486.0000	3.85057
486.5000	3.81137
487.0000	3.65465
487.5000	3.7341
488.0000	3.67795
488.5000	3.67381
489.0000	3.72041
489.5000	3.68887
490.0000	3.58645
490.5000	3.68628
491.0000	3.72208
491.5000	3.70912
492.0000	3.65917
492.5000	3.67871
493.0000	3.80922
493.5000	3.82191
494.0000	3.83817
494.5000	3.81545
495.0000	3.6865
495.5000	3.92422
496.0000	3.88484
496.5000	4.03762
497.0000	3.93759
497.5000	4.05281
498.0000	4.05548
498.5000	4.16818
499.0000	4.13665
499.5000	4.35553
500.0000	4.45943
500.5000	4.55977
501.0000	4.73972
501.5000	4.70756
502.0000	4.99524
502.5000	5.21114
503.0000	5.46959
503.5000	5.65252
504.0000	5.92151
504.5000	6.1473
505.0000	6.39599
505.5000	6.82972
506.0000	7.25831
506.5000	7.75478
507.0000	8.28604
507.5000	8.54578
508.0000	8.99434
508.5000	9.6846
509.0000	10.2848
509.5000	11.0424
510.0000	11.5844
510.5000	12.4042
511.0000	13.5623
511.5000	14.508
512.0000	15.2561
512.5000	16.7634
513.0000	17.8099
513.5000	18.9621
514.0000	20.6286
514.5000	21.6956
515.0000	23.3504
515.5000	24.8073
516.0000	27.0786
516.5000	29.2305
517.0000	31.2008
517.5000	33.2607
518.0000	36.0896
518.5000	39.032
519.0000	41.2889
519.5000	43.4939
520.0000	46.5065
520.5000	49.9634
521.0000	52.7752
521.5000	56.2091
522.0000	59.1443
522.5000	63.4892
523.0000	67.8345
523.5000	71.2182
524.0000	75.5476
524.5000	80.7216
525.0000	84.4951
525.5000	88.8937
526.0000	93.868
526.5000	99.4563
527.0000	103.964
527.5000	108.892
528.0000	113.193
528.5000	118.313
529.0000	123.287
529.5000	128.357
530.0000	134.466
530.5000	139.964
531.0000	145.402
531.5000	151.05
532.0000	156.22
532.5000	161.224
533.0000	168.005
533.5000	173.233
534.0000	178.946
534.5000	183.53
